Karate Zeon 5%,Medio,0.125,$14.40,$1.80,,,,
Pulverización Terrestre,Medio,3,$4.60,$13.80,,,,
Semillas MG RR,Medio,0.9,$162.00,$145.80,,,,
Siembra Directa + Fertilizacion,Medio,1,$0.43,$0.43,,,,
Urea,Medio,170,$0.43,$73.10,,,,
,,,,,,,,
,,,,,,Bajo,Medio,Alto
Soja,Norte de Buenos Aires,,,,,$410.68,$513.36,$616.04
insumo,nivel_tecnologico,cantidad,precio,costo,,,,
Glifosato,Medio,4,$2.40,$9.60,,,,
Texaro,Medio,0.43,$415.00,$178.45,,,,
Metsulfuron Metil,Medio,0.008,$24.00,$0.19,,,,
"2,4-D 100%",Medio,0.5,$5.90,$2.95,,,,
Semilla RR,Medio,7,$0.62,$4.34,,,,
Inoculante + Fungicida,Medio,1.4,$3.70,$5.18,,,,
Fosfato Monoamonico,Medio,40,$0.57,$22.80,,,,
Roundup Controlmax,Medio,1.5,$6.00,$9.00,,,,
Karate Zeon 5%,Medio,0.125,$14.40,$1.80,,,,
Coragen,Medio,0.3,$275.00,$82.50,,,,
Engeo,Medio,0.2,$51.00,$10.20,,,,
Opera,Medio,0.5,$30.50,$15.25,,,,
Siembra Directa + Fertilizacion,Medio,1,33.5,$65.00,,,,
Pulverizacion terrestre,Medio,3,$4.60,$13.80,,,,
Pulverizacion aerea,Medio,3,$9.10,$27.30,,,,
Cosecha,Medio,1,$65.00,$65.00,,,,
Glifosato,Alto,5.2,$2.40,$12.48,,,,
Texaro,Alto,0.559,$415.00,$231.99,,,,
Metsulfuron Metil,Alto,0.0104,$24.00,$0.25,,,,
"2,4-D 100%",Alto,0.65,$5.90,$3.84,,,,
Semilla RR,Alto,9.1,$0.62,$5.64,,,,
Inoculante + Fungicida,Alto,1.82,$3.70,$6.73,,,,
Fosfato Monoamonico,Alto,52,$0.57,$29.64,,,,
Roundup Controlmax,Alto,1.95,$6.00,$11.70,,,,
Karate Zeon 5%,Alto,0.1625,$14.40,$2.34,,,,
Coragen,Alto,0.39,$275.00,$107.25,,,,
Engeo,Alto,0.26,$51.00,$13.26,,,,
Opera,Alto,0.65,$30.50,$19.83,,,,
Siembra Directa + Fertilizacion,Alto,1,33.5,$65.00,,,,
Pulverizacion terrestre,Alto,3,$4.60,$13.80,,,,
Pulverizacion aerea,Alto,3,$9.10,$27.30,,,,
Cosecha,Alto,1,$65.00,$65.00,,,,
Glifosato,Bajo,2.8,$2.40,$6.72,,,,
Texaro,Bajo,0.301,$415.00,$124.92,,,,
